Ratio_TA,Ratio_LP,Biomass_TA,Biomass_LP,Gardener
36,24,49,1.33,2
36,24,77,1.07,3
36,24,50,2.62,4
36,24,54,2.02,5
36,30,69,1.84,1
36,30,36,1.19,2
36,30,47,1.48,3
36,30,63,2.44,4
36,30,50,1.57,5
36,36,53,1.92,1
36,36,50,2.12,2
36,36,45,1.69,3
36,36,45,2.87,4
36,36,55,1.42,5
36,42,40,1.43,1
36,42,50,2.52,2
36,42,45,1.34,3
36,42,57,2.35,4
36,42,58,0.89,5
36,48,46,1.31,1
36,48,43,2.27,2
36,48,61,0.89,3
36,48,31,1.08,4
36,48,33,1.32,5
36,54,53,1.79,1
36,54,50,1.22,2
36,54,46,1.03,3
36,54,36,0.91,4
36,54,42,0.92,5
36,60,62,2.11,1
36,60,68,2.17,2
36,60,79,1.72,3
36,60,54,2.4,4
36,60,71,1.36,5
42,0,58,NA,1
42,0,38,NA,2
42,0,51,NA,3
42,0,56,NA,4
42,0,45,NA,5
42,1,56,2.39,1
42,1,64,0.68,2
42,1,59,1.54,3
42,1,27,1.32,4
42,1,56,1.69,5
42,6,27,1.55,1
42,6,49,0.84,2
42,6,52,1.88,3
42,6,47,3.07,4
42,6,59,1.37,5
42,12,44,0.67,1
42,12,45,1.21,2
42,12,42,1.41,3
42,12,57,1.36,4
42,12,41,1.34,5
42,18,34,1.87,1
42,18,38,1.41,2
42,18,72,1.6,3
42,18,44,1.64,4
42,18,43,0.93,5
42,24,40,1.21,1
42,24,34,1.52,2
42,24,47,1.23,3
42,24,41,1.54,4
42,24,59,1.58,5
42,30,33,1.93,1
42,30,33,1.22,2
42,30,64,2.05,3
42,30,33,1.72,4
42,30,50,1.67,5
42,36,47,1.74,1
42,36,54,2.1,2
42,36,80,1.97,3
42,36,49,1.52,4
42,36,44,1.08,5
42,42,53,1.3,1
42,42,47,1.86,2
42,42,53,2.15,3
42,42,51,2.15,4
42,42,39,1.04,5
42,48,36,0.69,1
42,48,43,1.13,2
42,48,49,1.12,3
42,48,66,2.15,4
42,48,52,0.89,5
42,54,55,1.47,1
42,54,43,1.62,2
42,54,32,1.7,3
42,54,40,1.27,4
42,54,46,1.81,5
42,60,52,1.39,1
42,60,45,1.03,2
42,60,48,1.74,3
42,60,47,2.88,4
42,60,43,1.23,5
48,0,40,NA,1
48,0,37,NA,2
48,0,38,NA,3
48,0,45,NA,4
48,0,37,NA,5
48,1,40,NA,1
48,1,42,1.5,2
48,1,22,NA,3
48,1,35,NA,4
48,1,26,1.39,5
48,6,42,1,1
48,6,47,2.14,2
48,6,44,1.61,3
48,6,39,1.47,4
48,6,40,1.67,5
48,12,45,1.6,1
48,12,NA,0.57,2
48,12,33,1.7,3
48,12,33,1.62,4
48,12,41,1.9,5
48,18,43,1.01,1
48,18,36,1.73,2
48,18,41,0.95,3
48,18,50,1.1,4
48,18,50,1.7,5
48,24,31,2.1,1
48,24,40,1.39,2
48,24,34,1.33,3
48,24,63,1.72,4
48,24,46,1.56,5
48,30,30,1.24,1
48,30,48,1.6,2
48,30,46,1.13,3
48,30,29,1.02,4
48,30,42,1.9,5
48,36,28,1.6,1
48,36,46,0.96,2
48,36,53,1.18,3
48,36,40,1.29,4
48,36,33,1.16,5
48,42,48,1.31,1
48,42,42,1.38,2
48,42,52,2.17,3
48,42,51,2.23,4
48,42,37,1.78,5
48,48,44,2.37,1
48,48,40,2.67,2
48,48,65,1.89,3
48,48,55,2.14,4
48,48,40,0.88,5
48,54,49,1.21,1
48,54,37,1.52,2
48,54,33,1.17,3
48,54,46,2.18,4
48,54,31,3.25,5
48,60,39,1.45,1
48,60,35,1.43,2
48,60,46,0.94,3
48,60,52,1.12,4
48,60,36,1.66,5
54,0,44,NA,1
54,0,32,NA,2
54,0,54,NA,3
54,0,47,NA,4
54,0,34,NA,5
54,1,39,NA,1
54,1,40,1.08,2
54,1,30,1.21,3
54,1,45,NA,4
54,1,37,2.08,5
54,6,47,1.23,1
54,6,46,1.61,2
54,6,30,0.97,3
54,6,36,1.22,4
54,6,49,1.37,5
54,12,NA,1.39,1
54,12,22,1.5,2
